STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
129	ˈbɪldɪŋ	Building	Tòa nhà, sự xây dựng	They live on the top floor of a modern apartment building.\nHọ sống ở tầng trên cùng của một tòa nhà chung cư hiện đại.	3	Destination B2
130	dɪˈskʌvəri	Discovery	Sự khám phá, phát hiện	The discovery of electricity completely changed the whole world.\nSự phát hiện ra điện đã thay đổi hoàn toàn cả thế giới.	3	Destination B2
131	ˌekspləˈneɪʃn	Explanation	Sự giải thích	Mr.Cat gave a clear explanation for his absence from class.\nMr.Cat đã đưa ra một sự giải thích rõ ràng cho sự vắng mặt của mình khỏi lớp.	3	Destination B2
132	ˌself ɪkˈsplænətri	Self-explanatory	Rõ ràng không cần giải thích	The instructions on how to use this app are self-explanatory.\nCác hướng dẫn về cách sử dụng ứng dụng này rất rõ ràng và dễ hiểu.	3	Destination B2
133	ɪmˈpɔːtnt	Important	Quan trọng	It is important to drink enough water every day for your health.\nViệc uống đủ nước mỗi ngày là rất quan trọng cho sức khỏe của bạn.	3	Destination B2
134	ˌʌnɪmˈpɔːtnt	Unimportant	Không quan trọng	Don't worry about minor mistakes because they are unimportant.\nĐừng lo lắng về những lỗi nhỏ vì chúng không quan trọng.	3	Destination B2
135	ɪmˈpɔːtns	Importance	Tầm quan trọng	The teacher stressed the importance of regular homework practice.\nGiáo viên đã nhấn mạnh tầm quan trọng của việc luyện tập bài tập về nhà thường xuyên.	3	Destination B2
136	ˌɪntrəˈdjuːs	Introduce	Giới thiệu	Let me introduce you to my colleague at the new office.\nĐể tôi giới thiệu bạn với đồng nghiệp của tôi tại văn phòng mới.	3	Destination B2
137	ˌɪntrəˈdʌkʃn	Introduction	Sự giới thiệu, lời mở đầu	The introduction of the book outlines the main historical themes.\nLời mở đầu của cuốn sách khái quát các chủ đề lịch sử chính.	3	Destination B2
138	ˌɪntrəˈdʌktəri	Introductory	Để giới thiệu, mở đầu	The company is offering an introductory price for new members.\nCông ty đang đưa ra một mức giá ưu đãi mở đầu cho các thành viên mới.	3	Destination B2
139	ɪnˈventə(r)	Inventor	Nhà phát minh	Mr.Dog is a famous inventor who created a new kind of light bulb.\nMr.Dog là một nhà phát minh nổi tiếng, người đã tạo ra một loại bóng đèn mới.	3	Destination B2
140	ɪnˈvenʃn	Invention	Sự phát minh, vật phát minh	The internet is arguably the most influential invention of our time.\nMạng internet có thể nói là phát minh có tầm ảnh hưởng lớn nhất trong thời đại của chúng ta.	3	Destination B2
141	əbˈzɜːv	Observe	Quan sát	Scientists use telescopes to observe distant stars and planets.\nCác nhà khoa học sử dụng kính thiên văn để quan sát các ngôi sao và hành tinh xa xôi.	3	Destination B2
142	əbˈzɜːvə(r)	Observer	Người quan sát	An independent observer attended the meeting to ensure fairness.\nMột người quan sát độc lập đã tham dự cuộc họp để đảm bảo sự công bằng.	3	Destination B2
143	ˌɒbzəˈveɪʃn	Observation	Sự quan sát	The doctor kept the patient under observation for 24 hours.\nBác sĩ đã giữ bệnh nhân để theo dõi quan sát trong vòng 24 giờ.	3	Destination B2
144	ˈpɒsəbl	Possible	Có thể, khả thi	Please come as early as possible so we can get good seats.\nVui lòng đến càng sớm càng tốt để chúng ta có thể có chỗ ngồi tốt.	3	Destination B2
145	ɪmˈpɒsəbl	Impossible	Không thể, bất khả thi	It is impossible to finish this huge amount of work in one hour.\nThật không thể hoàn thành khối lượng công việc khổng lồ này trong một giờ.	3	Destination B2
146	ˌpɒsəˈbɪləti	Possibility	Khả năng, triển vọng	There is a possibility of rain, so you should bring an umbrella.\nCó khả năng trời sẽ mưa, vì vậy bạn nên mang theo một chiếc ô.	3	Destination B2
147	ɪmˌpɒsəˈbɪləti	Impossibility	Sự bất khả thi	The tight deadline turned our ambitious plan into an impossibility.\nHạn chót gấp rút đã biến kế hoạch đầy tham vọng của chúng tôi thành một sự bất khả thi.	3	Destination B2
148	saɪˈkɒlədʒi	Psychology	Tâm lý học	She decided to study psychology to understand human behavior.\nCô ấy đã quyết định học tâm lý học để hiểu hành vi của con người.	3	Destination B2
149	saɪˈkɒlədʒɪst	Psychologist	Nhà tâm lý học	The school psychologist helps students deal with exam stress.\nNhà tâm lý học của trường giúp học sinh giải quyết căng thẳng trong kỳ thi.	3	Destination B2
150	ˌsaɪkəˈlɒdʒɪkl	Psychological	Thuộc về tâm lý	Moving to a new country can have a big psychological impact.\nViệc chuyển đến một quốc gia mới có thể có một tác động tâm lý lớn.	3	Destination B2
151	saɪˈkaɪətrɪst	Psychiatrist	Bác sĩ tâm thần	A psychiatrist can prescribe medication for severe mental health issues.\nMột bác sĩ tâm thần có thể kê đơn thuốc cho các vấn đề sức khỏe tâm thần nghiêm trọng.	3	Destination B2
152	rɪˈsɜːtʃə(r)	Researcher	Nhà nghiên cứu	The young researcher discovered a new way to process data.\nNhà nghiên cứu trẻ đã phát hiện ra một cách mới để xử lý dữ liệu.	3	Destination B2
153	ˌrevəˈluːʃn	Revolution	Cuộc cách mạng	The invention of computers led to a revolution in communication.\nSự phát minh ra máy tính đã dẫn đến một cuộc cách mạng trong giao tiếp.	3	Destination B2
154	ˌrevəˈluːʃənəri	Revolutionary	Mang tính cách mạng	The new electric car has a revolutionary design and battery.\nChiếc xe điện mới có một thiết kế và pin mang tính cách mạng.	3	Destination B2
155	ˈsaɪəns	Science	Khoa học	Science has helped us solve many complex problems over the years.\nKhoa học đã giúp chúng ta giải quyết nhiều vấn đề phức tạp qua nhiều năm.	3	Destination B2
156	ˈsaɪəntɪst	Scientist	Nhà khoa học	The scientist presented her latest findings at the conference.\nNhà khoa học đã trình bày những phát hiện mới nhất của mình tại hội nghị.	3	Destination B2
157	ˌsaɪənˈtɪfɪk	Scientific	Thuộc về khoa học, có tính khoa học	They need more scientific evidence to support this theory.\nHọ cần thêm bằng chứng khoa học để hỗ trợ lý thuyết này.	3	Destination B2
158	ˌsaɪənˈtɪfɪkli	Scientifically	Về mặt khoa học	It has been scientifically proven that exercise reduces stress.\nĐã được chứng minh về mặt khoa học rằng tập thể dục giúp giảm căng thẳng.	3	Destination B2
159	ˌʌnsaɪənˈtɪfɪk	Unscientific	Không khoa học	His methods are unscientific and rely mostly on personal opinions.\nCác phương pháp của anh ấy không khoa học và dựa chủ yếu vào ý kiến cá nhân.	3	Destination B2
160	ˌʌnsaɪənˈtɪfɪkli	Unscientifically	Một cách không khoa học	The survey was conducted unscientifically, making the results unreliable.\nCuộc khảo sát được tiến hành một cách không khoa học, làm cho các kết quả không đáng tin cậy.	3	Destination B2
161	tekˈnɒlədʒi	Technology	Công nghệ	Modern technology makes it easy to work from anywhere in the world.\nCông nghệ hiện đại giúp cho việc làm việc từ bất cứ đâu trên thế giới trở nên dễ dàng.	3	Destination B2
162	ˌteknəˈlɒdʒɪkl	Technological	Thuộc về công nghệ	We are living in a period of rapid technological change.\nChúng ta đang sống trong một giai đoạn thay đổi công nghệ nhanh chóng.	3	Destination B2
163	ˈteknɪkl	Technical	Thuộc về kỹ thuật	The website is down due to a technical issue with the server.\nTrang web đang bị ngừng hoạt động do một sự cố kỹ thuật với máy chủ.	3	Destination B2
164	tekˈnɪʃn	Technician	Kỹ thuật viên	A skilled technician came to fix our broken air conditioner.\nMột kỹ thuật viên lành nghề đã đến để sửa chiếc điều hòa bị hỏng của chúng tôi.	3	Destination B2
165	tekˈniːk	Technique	Kỹ thuật, phương pháp	She learned a new cooking technique during her holiday.\nCô ấy đã học được một kỹ thuật nấu ăn mới trong kỳ nghỉ của mình.	3	Destination B2
166	wʊd	Wood	Gỗ	They gathered some dry wood to build a small campfire.\nHọ đã thu gom một ít gỗ khô để dựng một ngọn lửa trại nhỏ.	3	Destination B2
167	ˈwʊdn	Wooden	Bằng gỗ	The dining room has a beautiful wooden table made of oak.\nPhòng ăn có một chiếc bàn bằng gỗ đẹp mắt được làm từ gỗ sồi.	3	Destination B2
