STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
114	/ɪnˈvɑːlv ˈsʌmθɪŋ/	involve something	Bao gồm, đòi hỏi điều gì	The new marketing project will involve a significant amount of research.\nDự án tiếp thị mới sẽ đòi hỏi một lượng lớn công việc nghiên cứu.	2	Destination B2
115	/ɪnˈvɑːlv ˈduːɪŋ ˈsʌmθɪŋ/	involve doing something	Đòi hỏi/bao gồm việc làm gì	Being a successful manager involves making difficult decisions every single day.\nTrở thành một người quản lý thành công đòi hỏi phải đưa ra những quyết định khó khăn mỗi ngày.	2	Destination B2
116	/ɪnˈvɑːlvd ɪn ˈsʌmθɪŋ/	involved in something	Dính líu, tham gia vào việc gì	Mr.Cat was closely involved in the development of the new software system.\nMr.Cat đã tham gia sát sao vào quá trình phát triển hệ thống phần mềm mới.	2	Destination B2
117	/ɪnˈvɑːlvd ɪn ˈduːɪŋ ˈsʌmθɪŋ/	involved in doing something	Tham gia vào việc làm gì	Many enthusiastic volunteers were involved in organizing the charity event.\nNhiều tình nguyện viên nhiệt tình đã tham gia vào việc tổ chức sự kiện từ thiện.	2	Destination B2
118	/ˈlɪsn tu ˈsʌmθɪŋ/	listen to something	Lắng nghe cái gì	I usually listen to classical music when I need to concentrate on my work.\nTôi thường nghe nhạc cổ điển khi cần tập trung vào công việc.	2	Destination B2
119	/ˈlɪsn tu ˈsʌmweʌn/	listen to someone	Lắng nghe ai đó	You should listen to Mr.Fox because he has a lot of practical experience in this field.\nBạn nên lắng nghe Mr.Fox vì anh ấy có rất nhiều kinh nghiệm thực tế trong lĩnh vực này.	2	Destination B2
120	/lʌv ˈsʌmweʌn/	love someone	Yêu thương ai đó	Mr.Dog loves his family unconditionally and always supports them in every situation.\nMr.Dog yêu thương gia đình vô điều kiện và luôn ủng hộ họ trong mọi hoàn cảnh.	2	Destination B2
121	/lʌv ˈsʌmθɪŋ/	love something	Rất thích, yêu cái gì	Mr.Cat absolutely loves the homemade cookies that his grandmother bakes for him.\nMr.Cat cực kỳ yêu thích những chiếc bánh quy nhà làm mà bà anh ấy nướng cho.	2	Destination B2
122	/lʌv ˈduːɪŋ ˈsʌmθɪŋ/	love doing something	Rất thích làm việc gì (trải nghiệm thường xuyên)	Mr.Fox loves walking in the park early in the morning to breathe fresh air.\nMr.Fox rất thích đi dạo trong công viên vào sáng sớm để hít thở không khí trong lành.	2	Destination B2
123	/lʌv tu du ˈsʌmθɪŋ/	love to do something	Rất thích làm việc gì (có ý định, mong muốn)	I would love to travel to Japan someday to experience their traditional culture.\nTôi rất muốn đi du lịch Nhật Bản vào một ngày nào đó để trải nghiệm văn hóa truyền thống của họ.	2	Destination B2
124	/miːn tu du ˈsʌmθɪŋ/	mean to do something	Cố ý, có ý định làm gì	I honestly didn't mean to offend you with my harsh comments earlier.\nTôi thực sự không cố ý xúc phạm bạn bằng những nhận xét gay gắt ban nãy đâu.	2	Destination B2
125	/ɪt miːnz ðæt/	it means that	Điều đó có nghĩa là	If you fail this exam, it means that you will have to retake the entire course.\nNếu bạn trượt bài kiểm tra này, điều đó có nghĩa là bạn sẽ phải học lại toàn bộ khóa học.	2	Destination B2
126	/prɪˈfɜːr tu du ˈsʌmθɪŋ/	prefer to do something	Thích làm việc gì hơn	In the evenings, Mr.Dog prefers to stay at home rather than go to crowded places.\nVào buổi tối, Mr.Dog thích ở nhà hơn là đi đến những nơi đông đúc.	2	Destination B2
127	/prɪˈfɜːr tu du ˈsʌmθɪŋ ˈræðər ðæn tu du ˈsʌmθɪŋ/	prefer to do something rather than to do something	Thích làm việc này hơn là làm việc kia	Mr.Cat prefers to read books rather than to watch television in his free time.\nMr.Cat thích đọc sách hơn là xem tivi trong thời gian rảnh rỗi.	2	Destination B2
128	/prɪˈfɜːr ˈsʌmθɪŋ/	prefer something	Thích cái gì hơn	Do you prefer green tea or black coffee in the morning?\nBạn thích trà xanh hay cà phê đen vào buổi sáng hơn?	2	Destination B2
129	/prɪˈfɜːr ˈsʌmθɪŋ ˈræðər ðæn ˈsʌmθɪŋ/	prefer something rather than something	Thích cái này hơn cái kia	I actually prefer a simple life rather than a busy and stressful urban lifestyle.\nThực ra tôi thích một cuộc sống giản dị hơn là lối sống đô thị bận rộn và căng thẳng.	2	Destination B2
130	/prɪˈfɜːr ˈsʌmθɪŋ tu ˈsʌmθɪŋ/	prefer something to something	Thích cái này hơn cái kia (cấu trúc phổ biến)	Mr.Fox prefers acoustic music to loud electronic dance music.\nMr.Fox thích nhạc acoustic nhẹ nhàng hơn là nhạc dance điện tử ồn ào.	2	Destination B2
131	/prɪˈfɜːr ˈduːɪŋ ˈsʌmθɪŋ tu ˈduːɪŋ ˈsʌmθɪŋ/	prefer doing something to doing something	Thích làm việc này hơn làm việc kia	Mr.Dog prefers swimming in the ocean to swimming in an artificial pool.\nMr.Dog thích bơi ngoài đại dương hơn là bơi trong hồ bơi nhân tạo.	2	Destination B2
132	/stɑːp ˈsʌmθɪŋ/	stop something	Ngừng, ngăn chặn điều gì	We must take immediate and decisive action to stop climate change.\nChúng ta phải hành động ngay lập tức và quyết đoán để ngăn chặn biến đổi khí hậu.	2	Destination B2
133	/stɑːp ˈduːɪŋ ˈsʌmθɪŋ/	stop doing something	Dừng hẳn việc đang làm	It is highly recommended that you stop smoking to protect your long-term health.\nChúng tôi thực sự khuyên bạn nên bỏ hẳn hút thuốc để bảo vệ sức khỏe lâu dài của mình.	2	Destination B2
134	/stɑːp tu du ˈsʌmθɪŋ/	stop to do something	Dừng lại để làm việc khác	During the long drive, Mr.Cat stopped to buy some snacks at the gas station.\nTrong chuyến lái xe dài, Mr.Cat đã dừng xe lại để mua chút đồ ăn vặt ở trạm xăng.	2	Destination B2
135	/stɑːp ˈsʌmbədi frəm ˈduːɪŋ ˈsʌmθɪŋ/	stop somebody from doing something	Ngăn cản ai làm việc gì	The heavy snow couldn't stop Mr.Fox from attending the important business meeting.\nTrận tuyết lớn không thể ngăn cản Mr.Fox tham dự cuộc họp kinh doanh quan trọng.	2	Destination B2
136	/meɪk ʃʊr ðæt/	make sure that	Đảm bảo rằng, chắc chắn rằng	Please make sure that all the doors and windows are locked before you leave.\nVui lòng đảm bảo rằng tất cả các cửa ra vào và cửa sổ đều đã được khóa trước khi bạn rời đi.	2	Destination B2
137	/bi ʃʊr ðæt/	be sure that	Chắc chắn rằng	I am quite sure that Mr.Dog left his car keys on the kitchen table.\nTôi khá chắc chắn rằng Mr.Dog đã để quên chìa khóa xe hơi trên bàn bếp.	2	Destination B2
138	/ʃʊr tu du/	sure to do	Chắc chắn sẽ làm (việc gì đó sẽ xảy ra)	If you keep practicing hard every day, you are sure to succeed in the end.\nNếu bạn tiếp tục chăm chỉ luyện tập mỗi ngày, cuối cùng bạn chắc chắn sẽ thành công.	2	Destination B2
139	/bi ʃʊr əv ˈsʌmθɪŋ/	be sure of something	Chắc chắn về điều gì	Mr.Cat was entirely sure of his answers during the difficult job interview.\nMr.Cat hoàn toàn chắc chắn về các câu trả lời của mình trong buổi phỏng vấn xin việc khó nhằn.	2	Destination B2
140	/meɪk ˈsɜːrtn ðæt/	make certain that	Đảm bảo chắc chắn rằng	We need to make certain that the new equipment is functioning properly before using it.\nChúng ta cần đảm bảo chắc chắn rằng thiết bị mới đang hoạt động đúng cách trước khi sử dụng.	2	Destination B2
141	/bi ˈsɜːrtn ðæt/	be certain that	Chắc chắn rằng (mức độ cao hơn sure)	The police are certain that they have found the primary suspect of the robbery.\nCảnh sát đinh ninh rằng họ đã tìm ra nghi phạm chính của vụ cướp.	2	Destination B2
142	/ˈsɜːrtn tu du ˈsʌmθɪŋ/	certain to do something	Chắc chắn sẽ làm gì/xảy ra việc gì	The highly anticipated movie is certain to break box office records this weekend.\nBộ phim rất được mong đợi này chắc chắn sẽ phá vỡ kỷ lục phòng vé vào cuối tuần này.	2	Destination B2
143	/bi ˈsɜːrtn əv ˈsʌmθɪŋ/	be certain of something	Chắc chắn về điều gì	Mr.Fox couldn't be certain of the exact time the delivery truck would arrive.\nMr.Fox không thể chắc chắn về thời gian chính xác mà xe tải giao hàng sẽ đến.	2	Destination B2
144	/əˈlaʊ/	allow	Cho phép	The museum does not allow visitors to take photographs inside the exhibition halls.\nBảo tàng không cho phép du khách chụp ảnh bên trong các phòng triển lãm.	2	Destination B2
145	/ˌdɪsəˈlaʊ/	disallow	Bác bỏ, không cho phép, không công nhận	The referee decided to disallow the goal because of a clear foul by the striker.\nTrọng tài đã quyết định không công nhận bàn thắng vì một lỗi rõ ràng của tiền đạo.	2	Destination B2
146	/əˈlaʊəns/	allowance	Tiền tiêu vặt, sự cho phép, mức trợ cấp	His parents give him a monthly allowance of fifty dollars for his personal expenses.\nBố mẹ cho anh ấy khoản tiền tiêu vặt hàng tháng là năm mươi đô la cho các chi phí cá nhân.	2	Destination B2
147	/əˈlaʊəbl/	allowable	Có thể cho phép được, hợp lệ	The maximum allowable weight for this piece of baggage is twenty kilograms.\nTrọng lượng tối đa được phép đối với kiện hành lý này là hai mươi kilôgam.	2	Destination B2
148	/əˈsoʊʃieɪt/	associate	Liên kết, liên tưởng, giao du	Many people naturally associate the color green with nature and healthy living.\nNhiều người tự nhiên liên tưởng màu xanh lá cây với thiên nhiên và lối sống lành mạnh.	2	Destination B2
149	/ˌdɪsəˈsoʊʃieɪt/	disassociate	Phân rẽ, tách biệt, cắt đứt quan hệ	The large company tried to disassociate itself from the recent environmental scandal.\nTập đoàn lớn đã cố gắng tự tách mình ra khỏi vụ bê bối môi trường gần đây.	2	Destination B2
150	/əˌsoʊsiˈeɪʃn/	association	Hiệp hội, sự liên kết, tổ chức	Mr.Dog is an active and respected member of the local wildlife protection association.\nMr.Dog là một thành viên tích cực và được tôn trọng của hiệp hội bảo vệ động vật hoang dã địa phương.	2	Destination B2
151	/ˌʌnəˈsoʊsieɪtɪd/	unassociated	Không liên quan, không liên kết	These two historical events are entirely unassociated and happened by pure coincidence.\nHai sự kiện lịch sử này hoàn toàn không liên quan đến nhau và chỉ xảy ra do sự tình cờ thuần túy.	2	Destination B2
152	/ˌkɑːmpəˈtɪʃn/	competition	Cuộc thi, sự cạnh tranh	There is fierce competition among tech companies to release the best smartphone every year.\nCó một sự cạnh tranh khốc liệt giữa các công ty công nghệ để tung ra chiếc điện thoại thông minh tốt nhất mỗi năm.	2	Destination B2
153	/kəmˈpetətɪv/	competitive	Có tính cạnh tranh, thích cạnh tranh	Mr.Cat is a very competitive person who always wants to win at everything he plays.\nMr.Cat là một người có tính cạnh tranh cao, luôn muốn giành chiến thắng trong mọi thứ anh ấy chơi.	2	Destination B2
154	/ɪnˈdʒɔɪ/	enjoy	Thưởng thức, tận hưởng, thích thú	I really enjoy spending quiet evenings reading a good book by the fireplace.\nTôi thực sự thích dành những buổi tối yên tĩnh để đọc một cuốn sách hay bên lò sưởi.	2	Destination B2
155	/ɪnˈdʒɔɪmənt/	enjoyment	Sự thích thú, niềm vui	The children ran around the playground, full of endless energy and enjoyment.\nBọn trẻ chạy quanh sân chơi, tràn đầy năng lượng không dứt và sự thích thú.	2	Destination B2
156	/ɪnˈdʒɔɪəbl/	enjoyable	Thú vị, mang lại niềm vui	We had a thoroughly enjoyable weekend at the beach despite the cloudy weather.\nChúng tôi đã có một dịp cuối tuần vô cùng thú vị ở bãi biển mặc cho thời tiết nhiều mây.	2	Destination B2
157	/ɪˈkwɪp/	equip	Trang bị	The school board decided to equip the new laboratory with state-of-the-art computers.\nHội đồng nhà trường quyết định trang bị cho phòng thí nghiệm mới những chiếc máy tính hiện đại nhất.	2	Destination B2
158	/ɪˈkwɪpmənt/	equipment	Thiết bị, trang thiết bị	You need to wear proper safety equipment when working in this hazardous factory.\nBạn cần mặc thiết bị bảo hộ an toàn đúng chuẩn khi làm việc trong nhà máy nguy hiểm này.	2	Destination B2
159	/ɪˈkwɪpt/	equipped	Được trang bị	The modern gym is fully equipped with everything you need for a rigorous workout.\nPhòng tập thể hình hiện đại được trang bị đầy đủ mọi thứ bạn cần cho một buổi tập luyện khắc nghiệt.	2	Destination B2
160	/ˈfɔːrtʃən/	fortune	Gia tài, tài sản lớn, vận may	Mr.Fox made a considerable fortune by investing wisely in the real estate market.\nMr.Fox đã kiếm được một gia tài đáng kể nhờ đầu tư khôn ngoan vào thị trường bất động sản.	2	Destination B2
161	/ˌmɪsˈfɔːrtʃən/	misfortune	Rủi ro, sự bất hạnh, điều không may	It was a great misfortune that their flight was canceled just hours before departure.\nThật là một sự không may lớn khi chuyến bay của họ bị hủy chỉ vài giờ trước khi khởi hành.	2	Destination B2
162	/ˈfɔːrtʃənət/	fortunate	May mắn, có phúc	Mr.Dog felt very fortunate to have such supportive and caring friends during hard times.\nMr.Dog cảm thấy rất may mắn vì có những người bạn luôn quan tâm và ủng hộ mình trong những lúc khó khăn.	2	Destination B2
163	/ʌnˈfɔːrtʃənət/	unfortunate	Không may, xui xẻo, đáng tiếc	It is unfortunate that Mr.Cat couldn't attend the graduation ceremony due to illness.\nThật đáng tiếc là Mr.Cat đã không thể tham dự buổi lễ tốt nghiệp do bị ốm.	2	Destination B2
164	/ˈɪntrəst/	interest	Sự quan tâm, sở thích, tiền lãi	The dedicated teacher tried to stimulate the students' interest in environmental science.\nGiáo viên tận tâm đã cố gắng kích thích sự hứng thú của học sinh đối với môn khoa học môi trường.	2	Destination B2
165	/ˈɪntrəstɪŋ/	interesting	Thú vị, lôi cuốn	This documentary about marine life is exceptionally interesting and highly educational.\nBộ phim tài liệu về sinh vật biển này đặc biệt thú vị và mang tính giáo dục cao.	2	Destination B2
166	/ʌnˈɪntrəstɪŋ/	uninteresting	Tẻ nhạt, không hấp dẫn	I found the guest speaker's lecture completely uninteresting, so I almost fell asleep.\nTôi thấy bài giảng của diễn giả khách mời hoàn toàn tẻ nhạt, đến mức tôi gần như ngủ gục.	2	Destination B2
167	/noʊ/	know	Biết, hiểu biết, quen biết	Does anyone here know the correct answer to this incredibly complex math problem?\nCó ai ở đây biết câu trả lời chính xác cho bài toán cực kỳ phức tạp này không?	2	Destination B2
168	/ˈnɑːlɪdʒ/	knowledge	Kiến thức, sự hiểu biết	Reading books regularly is undoubtedly one of the best ways to expand your general knowledge.\nĐọc sách thường xuyên chắc chắn là một trong những cách tốt nhất để mở rộng kiến thức chung của bạn.	2	Destination B2
169	/ˈnɑːlɪdʒəbl/	knowledgeable	Am hiểu, có kiến thức rộng rãi	Mr.Fox is highly knowledgeable about the rich history of the ancient Roman Empire.\nMr.Fox rất am hiểu về lịch sử phong phú của Đế chế La Mã cổ đại.	2	Destination B2
170	/ʌnˈnɑːlɪdʒəbl/	unknowledgeable	Không am hiểu, thiếu kiến thức	The new staff member is still unknowledgeable about the company's complex software system.\nNhân viên mới vẫn chưa am hiểu về hệ thống phần mềm phức tạp của công ty.	2	Destination B2
171	/luːz/	lose	Thua, đánh mất, làm mất	Please be careful not to lose your passport while you are traveling abroad.\nLàm ơn hãy cẩn thận đừng làm mất hộ chiếu của bạn khi bạn đang đi du lịch nước ngoài.	2	Destination B2
172	/lɔːst/	lost	Bị mất, lạc đường, phương hướng	Mr.Cat got completely lost when he was driving alone through the unfamiliar city.\nMr.Cat đã hoàn toàn bị lạc đường khi lái xe một mình qua thành phố xa lạ.	2	Destination B2
173	/lɔːs/	loss	Sự mất mát, tổn thất	The local company reported a massive financial loss during the recent economic crisis.\nCông ty địa phương đã báo cáo một khoản tổn thất tài chính khổng lồ trong cuộc khủng hoảng kinh tế gần đây.	2	Destination B2
174	/meɪnˈteɪn/	maintain	Duy trì, bảo dưỡng, bảo vệ	It is crucial to maintain a healthy diet and exercise regularly to stay fit.\nViệc duy trì một chế độ ăn uống lành mạnh và tập thể dục thường xuyên để giữ dáng là rất quan trọng.	2	Destination B2
175	/ˈmeɪntənəns/	maintenance	Sự bảo trì, sự duy tu, bảo dưỡng	The office building is currently closed for routine maintenance and necessary repairs.\nTòa nhà văn phòng hiện đang đóng cửa để tiến hành bảo trì định kỳ và sửa chữa cần thiết.	2	Destination B2
176	/ˈmedl/	medal	Huy chương	Mr.Dog proudly showed everyone the shiny gold medal he won at the marathon race.\nMr.Dog tự hào khoe với mọi người chiếc huy chương vàng sáng chói mà anh ấy giành được ở giải chạy marathon.	2	Destination B2
177	/ˈmedəlɪst/	medallist	Người đoạt huy chương	The famous Olympic medallist delivered an inspiring speech to the young, aspiring athletes.\nNhà vô địch Olympic nổi tiếng đã có một bài phát biểu truyền cảm hứng cho các vận động viên trẻ đầy khát vọng.	2	Destination B2
178	/məˈdæliən/	medallion	Huy chương lớn (thường dùng làm đồ trang sức)	He wore a heavy, engraved silver medallion around his neck as a symbol of his high rank.\nÔng ấy đeo một chiếc huy chương bạc lớn được chạm khắc quanh cổ như một biểu tượng cho cấp bậc cao của mình.	2	Destination B2
179	/əˈpoʊz/	oppose	Phản đối, chống đối	Many local residents strongly oppose the construction of the new, noisy highway near their homes.\nNhiều cư dân địa phương phản đối mạnh mẽ việc xây dựng đường cao tốc mới ồn ào gần nhà của họ.	2	Destination B2
180	/ˌɑːpəˈzɪʃn/	opposition	Sự phản đối, phe đối lập	The controversial proposal to raise taxes met with fierce opposition from the general public.\nĐề xuất gây tranh cãi về việc tăng thuế đã vấp phải sự phản đối dữ dội từ công chúng.	2	Destination B2
181	/ˈɑːpəzɪt/	opposite	Đối diện, trái ngược, hoàn toàn khác	His firm opinion on this political matter is completely opposite to mine.\nQuan điểm vững chắc của anh ấy về vấn đề chính trị này hoàn toàn trái ngược với tôi.	2	Destination B2
182	/əˈpoʊzɪŋ/	opposing	Đối lập, đối phương (đội/phe)	Loyal fans of the opposing team started cheering loudly when the sudden goal was scored.\nNhững người hâm mộ trung thành của đội đối phương bắt đầu hò reo nồng nhiệt khi bàn thắng bất ngờ được ghi.	2	Destination B2
183	/ˈpræktɪs/	practice	Sự thực hành, thói quen, bài tập	You need to put the theory you learned into practice if you want to master this skill.\nBạn cần đưa lý thuyết đã học vào thực hành nếu muốn thành thạo kỹ năng này.	2	Destination B2
184	/ˈpræktɪs/	practise	Thực hành, luyện tập (động từ)	Mr.Cat needs to practise playing the acoustic guitar for at least an hour every single day.\nMr.Cat cần luyện tập chơi đàn guitar acoustic ít nhất một giờ mỗi ngày.	2	Destination B2
185	/ˈpræktɪkl/	practical	Thực tế, thiết thực, có ích	The training course offers practical advice on how to manage your personal finances efficiently.\nKhóa đào tạo cung cấp những lời khuyên thiết thực về cách quản lý tài chính cá nhân một cách hiệu quả.	2	Destination B2
186	/ɪmˈpræktɪkl/	impractical	Thiếu thực tế, không thực dụng	Wearing expensive high heels to go mountain hiking is a completely impractical idea.\nViệc mang những đôi giày cao gót đắt tiền để đi leo núi là một ý tưởng hoàn toàn thiếu thực tế.	2	Destination B2
187	/treɪn/	train	Đào tạo, huấn luyện, tàu hỏa	The company plans to train all new employees on how to use the complex database.\nCông ty dự định sẽ đào tạo tất cả nhân viên mới về cách sử dụng cơ sở dữ liệu phức tạp.	2	Destination B2
188	/ˌriːˈtreɪn/	retrain	Đào tạo lại (cho một công việc/kỹ năng mới)	Mr.Fox had to retrain as a freelance graphic designer after suddenly losing his previous job.\nMr.Fox đã phải đào tạo lại để trở thành nhà thiết kế đồ họa tự do sau khi bất ngờ mất công việc trước đó.	2	Destination B2
189	/ˈtreɪnər/	trainer	Huấn luyện viên, giày thể thao	My dedicated personal trainer created a customized and strict workout plan for me.\nHuấn luyện viên cá nhân tận tâm của tôi đã tạo ra một kế hoạch tập luyện nghiêm ngặt và tùy chỉnh cho tôi.	2	Destination B2
190	/ˌtreɪˈniː/	trainee	Người được đào tạo, thực tập sinh	As a new management trainee, Mr.Dog is currently learning about operations in different departments.\nLà một thực tập sinh quản lý mới, Mr.Dog hiện đang tìm hiểu về hoạt động ở các bộ phận khác nhau.	2	Destination B2
